Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg), activity
10.4101906,0.616245,0.836384,0.082857,1.042191,85.439995,53.617359,dribble
10.4202509,0.631742,0.839191,0.075658,1.053121,85.880241,53.027599,dribble
10.4300003,0.628569,0.831381,0.066628,1.044382,86.342262,52.908730,dribble
10.4401588,0.605018,0.815395,0.060892,1.017165,86.567955,53.424828,dribble
10.4502802,0.575243,0.808196,0.062235,0.993961,86.410210,54.558182,dribble
10.4605141,0.571094,0.834188,0.053571,1.012367,86.966713,55.604034,dribble
10.4706316,0.580368,0.855421,0.032094,1.034215,88.221725,55.844704,dribble
10.4801826,0.580246,0.842974,0.011227,1.023434,89.371475,55.459106,dribble
10.4901428,0.554620,0.788915,0.003661,0.964367,89.782501,54.892159,dribble
10.5002689,0.517523,0.728267,-0.006834,0.893448,90.438232,54.601509,dribble
10.5109177,0.513252,0.704593,-0.010006,0.871768,90.657669,53.928989,dribble
10.5203657,0.556329,0.741568,0.008664,0.927092,89.464539,53.122559,dribble
10.5305948,0.595012,0.789037,0.028677,0.988656,88.337860,52.980114,dribble
10.5402870,0.596110,0.802826,0.042344,1.000835,87.575172,53.405594,dribble
10.5502396,0.567677,0.797335,0.059306,0.980570,86.532578,54.550346,dribble
10.5601120,0.553644,0.800264,0.067848,0.975473,86.011635,55.323479,dribble
10.5702429,0.592693,0.809904,0.052472,1.004979,87.007095,53.803089,dribble
10.5808592,0.609899,0.818080,0.049788,1.021621,87.206642,53.294548,dribble
10.5902481,0.618319,0.819178,0.055157,1.027820,86.923798,52.954342,dribble
10.6007938,0.622834,0.824669,0.066506,1.035580,86.317894,52.937962,dribble
10.6107426,0.624542,0.822717,0.079075,1.035939,85.622284,52.797070,dribble
10.6205301,0.618685,0.810514,0.094816,1.024058,84.687447,52.644623,dribble
10.6304140,0.614170,0.797579,0.106897,1.012306,83.938408,52.402187,dribble
10.6401739,0.615512,0.785498,0.102504,1.003180,84.135330,51.917934,dribble
10.6506968,0.616611,0.776468,0.096159,0.996172,84.460724,51.546127,dribble
10.6605444,0.612828,0.777200,0.094694,0.994266,84.534851,51.743980,dribble
10.6702166,0.602577,0.782570,0.092742,0.992026,84.635742,52.403786,dribble
10.6804218,0.596842,0.791844,0.088227,0.995500,84.915466,52.993309,dribble
10.6900358,0.597208,0.797701,0.082369,0.999885,85.274689,53.179218,dribble
10.7001696,0.593791,0.793430,0.079441,0.994198,85.416939,53.189365,dribble
10.7106085,0.596354,0.785254,0.076146,0.988969,85.584129,52.785488,dribble
10.7202549,0.605018,0.775736,0.073949,0.986550,85.701218,52.048347,dribble
10.7303362,0.610997,0.765974,0.072363,0.982481,85.776154,51.421547,dribble
10.7404032,0.615146,0.761825,0.070288,0.981694,85.894157,51.080364,dribble
10.7513294,0.621126,0.766462,0.075170,0.989399,85.642754,50.979362,dribble
10.7602968,0.629058,0.769146,0.078586,0.996732,85.477875,50.721489,dribble
10.7704659,0.634183,0.767316,0.085542,0.999139,85.088562,50.426445,dribble
10.7802744,0.634183,0.768170,0.086762,0.999900,85.022125,50.457741,dribble
10.7900372,0.632474,0.771587,0.083834,1.001198,85.196808,50.658325,dribble
10.8007231,0.635159,0.776834,0.083468,1.006909,85.245018,50.729717,dribble
10.8104877,0.640894,0.780861,0.086884,1.013922,85.084221,50.622452,dribble
10.8199520,0.650291,0.777810,0.087495,1.017606,85.067574,50.102596,dribble
10.8299685,0.656880,0.771343,0.088227,1.016979,85.023117,49.582092,dribble
10.8400841,0.657490,0.762801,0.090911,1.011150,84.841637,49.240566,dribble
10.8501940,0.657002,0.755113,0.090911,1.005044,84.810211,48.974411,dribble
10.8598843,0.656514,0.749012,0.091521,1.000203,84.749924,48.765209,dribble
10.8702831,0.654806,0.744131,0.095304,0.995783,84.507935,48.653492,dribble
10.8801842,0.649924,0.745351,0.101162,0.994074,84.159195,48.912510,dribble
10.8901625,0.645775,0.753527,0.102626,0.997678,84.095825,49.403290,dribble
10.9001207,0.649558,0.761337,0.096037,1.005377,84.518585,49.529800,dribble
10.9103804,0.664568,0.760970,0.095914,1.014853,84.576836,48.868759,dribble
10.9209795,0.670181,0.758042,0.108361,1.017601,83.887146,48.520252,dribble
10.9305801,0.676771,0.749012,0.117880,1.016333,83.339546,47.900558,dribble
10.9401321,0.672256,0.742910,0.119588,1.009032,83.193443,47.858215,dribble
10.9502449,0.669693,0.731440,0.118734,0.998794,83.172691,47.523335,dribble
10.9600782,0.671279,0.724118,0.116171,0.994213,83.289803,47.168533,dribble
10.9703579,0.677381,0.720945,0.112632,0.995637,83.504456,46.784447,dribble
10.9801722,0.683848,0.721555,0.107751,0.999950,83.813988,46.536869,dribble
10.9902592,0.691414,0.723142,0.109704,1.006490,83.742538,46.284885,dribble
11.0002365,0.697516,0.722409,0.112266,1.010449,83.620956,46.004395,dribble
11.0100737,0.693611,0.718383,0.114951,1.005178,83.433357,46.005085,dribble
11.0205822,0.687631,0.716552,0.117514,1.000046,83.251694,46.179905,dribble
11.0302610,0.685679,0.713013,0.107141,0.994999,83.818420,46.119576,dribble
11.0402288,0.689462,0.706302,0.098965,0.991975,84.274315,45.691242,dribble
11.0509853,0.688974,0.699834,0.094084,0.986562,84.527634,45.448048,dribble
11.0601120,0.683970,0.696905,0.094084,0.980992,84.496468,45.536686,dribble
11.0699558,0.678357,0.698004,0.093962,0.977858,84.485962,45.817802,dribble
11.0802431,0.676771,0.694831,0.093108,0.974412,84.516853,45.754387,dribble
11.0902987,0.673232,0.696051,0.096281,0.973139,84.321968,45.954758,dribble
11.1009493,0.676405,0.699834,0.097623,0.978172,84.272270,45.975327,dribble
11.1102486,0.686411,0.707888,0.092620,0.990376,84.633873,45.882484,dribble
11.1212511,0.695197,0.710451,0.090667,0.998128,84.788223,45.621731,dribble
11.1305313,0.702763,0.708864,0.094450,1.002639,84.594635,45.247646,dribble
11.1404171,0.708620,0.704593,0.101528,1.004441,84.198700,44.836735,dribble
11.1508675,0.709963,0.699956,0.103968,1.002395,84.046577,44.593372,dribble
11.1603746,0.710817,0.695929,0.109460,1.000779,83.720741,44.393665,dribble
11.1701231,0.713867,0.694465,0.115805,1.002646,83.367561,44.210690,dribble
11.1803808,0.718993,0.694709,0.116049,1.006498,83.379074,44.015903,dribble
11.1911516,0.724850,0.696783,0.118368,1.012386,83.285645,43.868984,dribble
11.2000151,0.730463,0.695197,0.122883,1.015862,83.052254,43.582973,dribble
11.2110252,0.732050,0.691048,0.124225,1.014335,82.965355,43.349678,dribble
11.2215633,0.728267,0.687875,0.128130,1.009932,82.711243,43.366241,dribble
11.2300482,0.723020,0.688119,0.129106,1.006446,82.629829,43.583252,dribble
11.2402945,0.721433,0.693123,0.131913,1.009102,82.488617,43.853447,dribble
11.2507782,0.722531,0.696783,0.128130,1.011917,82.725616,43.960697,dribble
11.2600708,0.724240,0.698492,0.132279,1.014846,82.510529,43.963196,dribble
11.2703724,0.729609,0.696539,0.131547,1.017252,82.569939,43.671654,dribble
11.2805538,0.734002,0.693733,0.123493,1.017485,83.028778,43.384392,dribble
11.2901688,0.734490,0.690194,0.111778,1.014070,83.671577,43.219131,dribble
11.3000669,0.735711,0.686533,0.107019,1.011954,83.929337,43.019650,dribble
11.3102045,0.733270,0.680188,0.103236,1.005484,84.106873,42.849270,dribble
11.3203096,0.735833,0.670791,0.102138,1.000921,84.143120,42.352570,dribble
11.3302536,0.736931,0.663348,0.097257,0.996271,84.397820,41.991932,dribble
11.3409414,0.743642,0.659565,0.096159,0.998637,84.474442,41.571037,dribble
11.3501930,0.751696,0.657856,0.088715,1.002842,84.924789,41.191193,dribble
11.3601351,0.751818,0.659077,0.081637,1.003134,85.331985,41.239212,dribble
11.3705454,0.747913,0.660907,0.086030,1.001785,85.073547,41.465996,dribble
11.3800116,0.739493,0.660297,0.083590,0.994902,85.180443,41.761803,dribble
11.3901052,0.732050,0.658833,0.082735,0.988333,85.198036,41.986687,dribble
11.4002914,0.734246,0.659443,0.081027,0.990226,85.306419,41.927708,dribble
11.4102631,0.739615,0.659199,0.085786,0.994451,85.051239,41.709728,dribble
11.4199219,0.744131,0.658466,0.086518,0.997393,85.023659,41.504982,dribble
11.4301691,0.750476,0.659443,0.086152,1.002747,85.071289,41.305744,dribble
11.4408293,0.760848,0.659321,0.091643,1.010936,84.798882,40.910885,dribble
11.4501591,0.768658,0.655172,0.091888,1.014164,84.801628,40.442867,dribble
11.4600763,0.772075,0.650535,0.096037,1.014159,84.566193,40.116798,dribble
11.4703283,0.772075,0.648582,0.097013,1.013001,84.504494,40.031956,dribble
11.4800901,0.771343,0.651633,0.098111,1.014505,84.450356,40.191227,dribble
11.4901047,0.771343,0.655904,0.095548,1.017010,84.609093,40.375851,dribble
11.5001163,0.771099,0.654317,0.096891,1.015929,84.527298,40.316338,dribble
11.5112486,0.775126,0.649192,0.096647,1.015683,84.539795,39.947231,dribble
11.5204010,0.785132,0.642237,0.093840,1.018679,84.714455,39.283100,dribble
11.5301628,0.789281,0.632962,0.092986,1.015998,84.748848,38.727802,dribble
11.5401201,0.786841,0.625641,0.094938,1.009732,84.604897,38.489273,dribble
11.5503397,0.787207,0.625275,0.092620,1.009575,84.736206,38.459961,dribble
11.5605068,0.782936,0.626495,0.085664,1.006391,85.117065,38.666344,dribble
11.5701742,0.781349,0.630278,0.081881,1.007205,85.336967,38.891491,dribble
11.5799274,0.790135,0.633451,0.076756,1.015611,85.665672,38.719112,dribble
11.5898695,0.806853,0.629058,0.075658,1.025890,85.770683,37.941513,dribble
11.5999537,0.810148,0.617099,0.073949,1.021087,85.846878,37.296925,dribble
11.6099739,0.781471,0.687997,0.056377,1.042697,86.900581,41.360283,dribble
0.0000000,5.066131,8.058883,-1.243788,9.599910,97.444305,57.844917,hold
0.0100500,5.237316,8.115147,-1.338359,9.750708,97.889183,57.162796,hold
0.0199190,5.434838,8.097190,-0.958878,9.799050,95.615616,56.130470,hold
0.0300610,5.658696,8.000225,-0.469264,9.810435,92.741684,54.727577,hold
0.0398930,5.702989,7.717709,0.071826,9.596472,89.571159,53.537510,hold
0.0498790,6.028600,7.811083,0.912191,9.909042,84.718079,52.339012,hold
0.0599130,6.848614,8.002619,1.395820,10.625146,82.451263,49.443203,hold
0.0699370,7.156269,8.288726,1.668759,11.077000,81.335358,49.193531,hold
0.0798500,6.941988,8.021772,1.673547,10.739682,81.035156,49.127308,hold
0.0899950,6.758832,7.739257,1.485602,10.381951,81.773041,48.868706,hold
0.1000370,6.845023,8.093599,1.222240,10.670265,83.422539,49.777702,hold
0.1099910,6.382942,7.920019,0.675165,10.194336,86.202553,51.133789,hold
0.1199450,5.857414,7.762002,0.237026,9.726981,88.603683,52.960819,hold
0.1303100,5.506664,7.694964,-0.137667,9.463339,90.833534,54.411766,hold
0.1399520,5.334281,7.736863,-0.395043,9.405831,92.407120,55.415169,hold
0.1505850,5.201403,7.795521,-0.454898,9.382520,92.778992,56.287605,hold
0.1599280,5.122395,7.888895,-0.525527,9.420710,93.197861,57.003647,hold
0.1700190,5.159505,7.999028,-0.561440,9.535206,93.375572,57.177315,hold
0.1801690,5.149928,8.069656,-0.514753,9.586766,93.077927,57.454620,hold
0.1904780,5.407305,7.802703,-0.276530,9.497241,91.668510,55.277885,hold
0.1999300,5.515044,8.271967,0.239420,9.944771,88.620468,56.308018,hold
0.2104730,5.124789,8.098388,-0.061052,9.583897,90.364990,57.673721,hold
0.2213810,5.416882,7.697359,-0.059855,9.412519,90.364349,54.864700,hold
0.2302610,5.882554,7.551312,0.159214,9.573510,89.047089,52.081024,hold
0.2399320,6.135142,7.606379,0.414197,9.781029,87.572975,51.111095,hold
0.2500430,6.227319,7.766790,0.434548,9.964505,87.500565,51.277782,hold
0.2599790,6.212954,7.976283,0.138864,10.111437,89.213112,52.083961,hold
0.2702480,6.058527,8.105570,-0.033519,10.119641,90.189781,53.223637,hold
0.2801520,5.843049,8.072051,-0.113725,9.965549,90.653862,54.100658,hold
0.2905850,5.701791,7.969100,-0.019154,9.798844,90.111992,54.416756,hold
